Year,FG_num,FG_name,mean_density,n_areas_contributing,n_samples_total
2005,61,Benthopelagic cephalopods,0.0963306060788484,8,498
2005,44,Flatfishes,0.253478068498522,8,498
2005,53,No commercial small demersal fish,0.279582303612137,8,498
2005,65,Gastropods,0.0014404002773764,5,249
2005,35,Sparidae+,1.05159388423319,8,498
2005,28,European conger,0.0161555074741659,8,481
2005,74,Non-commercial decapods,0.208178888270675,8,447
2005,37,Common two-banded seabream,0.0163185342239494,4,107
2005,63,Other benthic cephalopods,0.102565216111858,8,498
2005,40,Scorpaenidae+,0.172132007911579,8,498
2005,27,Anglerfish,0.121239303628551,8,485
2005,29,European hake juv.,0.534278873187257,8,498
2005,50,Red mullet,0.109935877601831,7,426
2005,51,Surmullet,0.0254332267864575,8,435
2005,60,Coastal benthic cephalopods,0.115833233967412,7,387
2005,46,No commercial medium demersal fish,0.0692281010634702,7,372
2005,34,Common pandora,0.037269829045443,7,329
2005,77,Sea cucumbers,0.00600982810552825,4,227
2005,58,Rays and skates,0.263632726961644,8,498
2005,19,European sardine adult,6.30951155844081,6,278
2005,16,Mackerels,0.135899348314955,6,291
2005,55,Small-spotted catshark,0.107587764407816,8,441
2005,43,Labridae and serranidae+,0.0753599351220669,7,305
2005,24,Other small pelagic fish,0.417415919667328,7,379
2005,17,Horse mackerels,1.86291982918338,8,498
2005,45,Other commercial medium demersal fish,0.0890482312356574,8,498
2006,61,Benthopelagic cephalopods,0.0847309021318223,9,523
2006,74,Non-commercial decapods,0.136400777768783,9,490
2006,44,Flatfishes,0.308595925105869,9,522
2006,65,Gastropods,0.00156208290357182,5,262
2006,35,Sparidae+,1.38490373977904,9,522
2006,53,No commercial small demersal fish,0.140846265325995,9,522
2006,46,No commercial medium demersal fish,0.122706801847178,9,395
2006,64,Bivalves,0.00415356900718816,3,194
2006,40,Scorpaenidae+,0.237952707547733,9,523
2006,28,European conger,0.030986706850082,9,490
2006,43,Labridae and serranidae+,0.0705456431838913,9,374
2006,37,Common two-banded seabream,0.0153236560997242,5,137
2006,63,Other benthic cephalopods,0.132203786619329,9,522
2006,21,European anchovy juv.,1.42782224006818,7,268
2006,48,Mugilidae,1.78407905606609,4,59
2006,73,Other commercial decapods,0.00608572637425109,8,329
2006,29,European hake juv.,0.639608998572337,9,521
2006,50,Red mullet,0.125630261940091,7,473
2006,51,Surmullet,0.0301463649497607,8,425
2006,60,Coastal benthic cephalopods,0.218059884916168,8,383
2006,34,Common pandora,0.066062750131931,8,333
2006,77,Sea cucumbers,0.00531670740980432,5,235
